x	I	R	a	n	L	aE
74.0615	1.1593e+015	0.194839	1.1593e+015	0.505907	0.350391	1.941e+016
73.911	1.13888e+015	0.188983	1.13888e+015	0.512148	0.331195	1.91069e+016
73.7611	1.12359e+015	0.183439	1.12359e+015	0.518172	0.314908	1.88886e+016
73.6118	1.11403e+015	0.178197	1.11403e+015	0.523975	0.301405	1.8766e+016
73.4631	1.11007e+015	0.173259	1.11007e+015	0.529543	0.290405	1.87372e+016
73.3149	1.11062e+015	0.168627	1.11062e+015	0.534858	0.281423	1.87843e+016
73.1674	1.11352e+015	0.164289	1.11352e+015	0.539921	0.273761	1.88714e+016
73.0205	1.11644e+015	0.160205	1.11644e+015	0.544764	0.266701	1.89589e+016
72.8742	1.1191e+015	0.156311	1.1191e+015	0.549451	0.260043	1.90423e+016
72.7284	1.12426e+015	0.152569	1.12426e+015	0.554028	0.254321	1.91684e+016
72.5833	1.13546e+015	0.148998	1.13546e+015	0.558465	0.250279	1.9398e+016
72.4387	1.15394e+015	0.145657	1.15394e+015	0.562684	0.248168	1.9753e+016
72.2947	1.17772e+015	0.142613	1.17772e+015	0.566587	0.247574	2.02003e+016
72.1512	1.20021e+015	0.139907	1.20021e+015	0.5701	0.247156	2.06269e+016
72.0083	1.2117e+015	0.137491	1.2117e+015	0.573266	0.244922	2.08657e+016
71.866	1.20639e+015	0.135218	1.20639e+015	0.57626	0.239613	2.08155e+016
71.7243	1.186e+015	0.132946	1.186e+015	0.579271	0.231485	2.0504e+016
71.5831	1.15663e+015	0.130597	1.15663e+015	0.582409	0.221729	2.00358e+016
71.4425	1.1255e+015	0.12816	1.1255e+015	0.585704	0.211763	1.95348e+016
71.3024	1.09908e+015	0.125677	1.09908e+015	0.589105	0.202865	1.91137e+016
71.1628	1.08012e+015	0.12323	1.08012e+015	0.592506	0.195592	1.88208e+016
71.0239	1.06735e+015	0.120884	1.06735e+015	0.595811	0.189727	1.86347e+016
70.8854	1.05677e+015	0.118666	1.05677e+015	0.598973	0.184543	1.84862e+016
70.7475	1.04424e+015	0.116556	1.04424e+015	0.602014	0.179269	1.83024e+016
70.6101	1.02904e+015	0.114502	1.02904e+015	0.605004	0.173731	1.80711e+016
70.4733	1.01328e+015	0.112498	1.01328e+015	0.607953	0.168281	1.78289e+016
70.337	9.95867e+014	0.110559	9.95867e+014	0.610837	0.162757	1.75566e+016
70.2012	9.74713e+014	0.108655	9.74713e+014	0.613695	0.156797	1.72169e+016
70.0659	9.50778e+014	0.106747	9.50778e+014	0.61659	0.150528	1.68265e+016
69.9312	9.27386e+014	0.104815	9.27386e+014	0.619555	0.144463	1.64442e+016
69.797	9.0848e+014	0.102883	9.0848e+014	0.622558	0.139224	1.61399e+016
69.6632	8.93994e+014	0.100997	8.93994e+014	0.625527	0.134812	1.5913e+016
69.53	8.81445e+014	0.0991603	8.81445e+014	0.628452	0.130829	1.57197e+016
69.3974	8.70681e+014	0.0973523	8.70681e+014	0.631365	0.127214	1.55574e+016
69.2652	8.64009e+014	0.0955759	8.64009e+014	0.634264	0.124284	1.54677e+016
69.1335	8.61798e+014	0.0938638	8.61798e+014	0.637092	0.122092	1.54575e+016
69.0023	8.61078e+014	0.092231	8.61078e+014	0.63982	0.12021	1.54739e+016
68.8716	8.58867e+014	0.0906536	8.58867e+014	0.642483	0.118195	1.54635e+016
68.7414	8.5519e+014	0.0890945	8.5519e+014	0.645142	0.116023	1.54264e+016
68.6117	8.52638e+014	0.0875335	8.52638e+014	0.647834	0.114027	1.54095e+016
68.4825	8.53744e+014	0.0859788	8.53744e+014	0.650547	0.112541	1.54586e+016
68.3538	8.59496e+014	0.0844435	8.59496e+014	0.65326	0.111683	1.5592e+016
68.2255	8.70555e+014	0.0829295	8.70555e+014	0.655969	0.111513	1.58224e+016
68.0978	8.8896e+014	0.0814381	8.8896e+014	0.658673	0.11226	1.61872e+016
67.9705	9.18338e+014	0.0799931	9.18338e+014	0.661332	0.114355	1.67534e+016
67.8437	9.60534e+014	0.0786564	9.60534e+014	0.66383	0.118031	1.7556e+016
67.7173	1.01141e+015	0.0774877	1.01141e+015	0.666049	0.1228	1.85204e+016
67.5915	1.0641e+015	0.0764959	1.0641e+015	0.667959	0.127835	1.95214e+016
67.4661	1.11353e+015	0.0756541	1.11353e+015	0.669598	0.13253	2.04663e+016
67.3411	1.158e+015	0.0749277	1.158e+015	0.671024	0.136674	2.13231e+016
67.2167	1.19815e+015	0.0743097	1.19815e+015	0.672247	0.140365	2.21032e+016
67.0926	1.23291e+015	0.073815	1.23291e+015	0.673234	0.143523	2.27866e+016
66.9691	1.25854e+015	0.0734803	1.25854e+015	0.673905	0.145789	2.33032e+016
66.846	1.25973e+015	0.0733145	1.25973e+015	0.674225	0.145452	2.33682e+016
66.7233	1.22001e+015	0.07312	1.22001e+015	0.674558	0.14042	2.26729e+016
66.6011	1.15138e+015	0.0726508	1.15138e+015	0.675398	0.131816	2.14368e+016
66.4794	1.07988e+015	0.0718853	1.07988e+015	0.676824	0.122654	2.01423e+016
66.3581	1.02085e+015	0.0709433	1.02085e+015	0.678623	0.11484	1.90761e+016
66.2372	9.77202e+014	0.0699505	9.77202e+014	0.680554	0.108813	1.82938e+016
66.1168	9.43682e+014	0.0689791	9.43682e+014	0.682469	0.104019	1.76985e+016
65.9968	9.14714e+014	0.0680298	9.14714e+014	0.68436	0.0998191	1.71864e+016
65.8772	8.90016e+014	0.0670908	8.90016e+014	0.68625	0.0961555	1.67527e+016
65.7581	8.69388e+014	0.0661753	8.69388e+014	0.688113	0.093003	1.63941e+016
65.6394	8.51432e+014	0.0652831	8.51432e+014	0.689944	0.0901999	1.60845e+016
65.5211	8.36245e+014	0.064418	8.36245e+014	0.691737	0.0877491	1.58261e+016
65.4033	8.21775e+014	0.0635875	8.21775e+014	0.693472	0.0854344	1.55803e+016
65.2858	8.06429e+014	0.0627692	8.06429e+014	0.695195	0.083071	1.53168e+016
65.1688	7.92948e+014	0.0619532	7.92948e+014	0.696928	0.0809319	1.50878e+016
65.0523	7.82445e+014	0.0611615	7.82445e+014	0.698625	0.0791396	1.49147e+016
64.9361	7.72571e+014	0.0604015	7.72571e+014	0.700267	0.077456	1.47528e+016
64.8203	7.62613e+014	0.0596593	7.62613e+014	0.701882	0.0757975	1.45886e+016
64.705	7.54076e+014	0.0589353	7.54076e+014	0.70347	0.0743116	1.4451e+016
64.5901	7.46664e+014	0.0582452	7.46664e+014	0.704996	0.072976	1.43345e+016
64.4756	7.38163e+014	0.0575926	7.38163e+014	0.706448	0.0715755	1.41964e+016
64.3614	7.26184e+014	0.0569693	7.26184e+014	0.707842	0.0698767	1.39908e+016
64.2477	7.09236e+014	0.0563506	7.09236e+014	0.709231	0.0677279	1.36885e+016
64.1344	6.89599e+014	0.0557125	6.89599e+014	0.710673	0.0653396	1.3333e+016
64.0215	6.70647e+014	0.0550599	6.70647e+014	0.712159	0.0630379	1.29894e+016
63.909	6.53309e+014	0.0544073	6.53309e+014	0.713657	0.0609169	1.26759e+016
63.7969	6.37454e+014	0.0537654	6.37454e+014	0.715142	0.0589669	1.239e+016
63.6851	6.21908e+014	0.053139	6.21908e+014	0.716602	0.0570793	1.2109e+016
63.5738	6.05751e+014	0.0525231	6.05751e+014	0.718047	0.0551661	1.18151e+016
63.4629	5.89331e+014	0.0519134	5.89331e+014	0.719488	0.0532571	1.15149e+016
63.3523	5.72982e+014	0.0513116	5.72982e+014	0.720921	0.0513831	1.1215e+016
63.2421	5.56558e+014	0.0507211	5.56558e+014	0.722336	0.0495322	1.09125e+016
63.1323	5.39223e+014	0.0501439	5.39223e+014	0.723729	0.0476312	1.0591e+016
63.0229	5.19813e+014	0.0495742	5.19813e+014	0.725113	0.0455762	1.02275e+016
62.9139	4.98078e+014	0.049003	4.98078e+014	0.726509	0.0433453	9.81685e+015
62.8052	4.74277e+014	0.048419	4.74277e+014	0.727946	0.0409601	9.36392e+015
62.6969	4.50654e+014	0.0478136	4.50654e+014	0.729449	0.0386143	8.91289e+015
62.589	4.29411e+014	0.0471957	4.29411e+014	0.730996	0.0364988	8.50739e+015
62.4815	4.10658e+014	0.0465749	4.10658e+014	0.732564	0.0346222	8.14987e+015
62.3743	3.94723e+014	0.0459519	3.94723e+014	0.734151	0.0330072	7.84709e+015
62.2675	3.82642e+014	0.045333	3.82642e+014	0.735742	0.0317356	7.61996e+015
62.161	3.74726e+014	0.044731	3.74726e+014	0.737304	0.0308294	7.4751e+015
62.055	3.69384e+014	0.0441581	3.69384e+014	0.738804	0.0301539	7.38113e+015
61.9493	3.64075e+014	0.0436125	3.64075e+014	0.740242	0.0294974	7.28747e+015
61.8439	3.57663e+014	0.0430841	3.57663e+014	0.741645	0.0287649	7.17132e+015
61.7389	3.50303e+014	0.0425655	3.50303e+014	0.743032	0.0279681	7.03569e+015
61.6343	3.42429e+014	0.0420534	3.42429e+014	0.744411	0.0271418	6.88922e+015
61.53	3.34422e+014	0.0415465	3.34422e+014	0.745787	0.0263164	6.73954e+015
61.426	3.26544e+014	0.0410455	3.26544e+014	0.747156	0.0255124	6.5919e+015
61.3225	3.1874e+014	0.0405515	3.1874e+014	0.748516	0.0247256	6.44524e+015
61.2192	3.10764e+014	0.0400632	3.10764e+014	0.74987	0.0239362	6.29454e+015
61.1163	3.02597e+014	0.0395779	3.02597e+014	0.751225	0.0231424	6.13944e+015
61.0138	2.9469e+014	0.039094	2.9469e+014	0.752587	0.0223781	5.98906e+015
60.9116	2.87481e+014	0.038612	2.87481e+014	0.753953	0.0216759	5.85235e+015
60.8097	2.81176e+014	0.038133	2.81176e+014	0.755322	0.0210503	5.73359e+015
60.7082	2.75953e+014	0.0376575	2.75953e+014	0.75669	0.0205132	5.6365e+015
60.607	2.72005e+014	0.0371872	2.72005e+014	0.758055	0.0200772	5.56513e+015
60.5062	2.69388e+014	0.0367234	2.69388e+014	0.759411	0.0197448	5.52077e+015
60.4057	2.67992e+014	0.0362674	2.67992e+014	0.760755	0.0195062	5.50131e+015
60.3055	2.67683e+014	0.0358203	2.67683e+014	0.762082	0.0193499	5.50409e+015
60.2057	2.68295e+014	0.0353817	2.68295e+014	0.763394	0.0192624	5.52582e+015
60.1061	2.69692e+014	0.0349522	2.69692e+014	0.764688	0.0192328	5.56379e+015
60.007	2.71778e+014	0.0345313	2.71778e+014	0.765966	0.0192529	5.6161e+015
59.9081	2.74445e+014	0.0341189	2.74445e+014	0.767227	0.0193142	5.68056e+015
59.8096	2.77582e+014	0.0337145	2.77582e+014	0.768473	0.0194081	5.75495e+015
59.7114	2.81161e+014	0.0333172	2.81161e+014	0.769705	0.0195319	5.83875e+015
59.6135	2.8525e+014	0.0329261	2.8525e+014	0.770927	0.0196895	5.93339e+015
59.5159	2.89972e+014	0.0325411	2.89972e+014	0.772138	0.0198888	6.04151e+015
59.4186	2.95533e+014	0.0321621	2.95533e+014	0.77334	0.0201429	6.16744e+015
59.3217	3.02152e+014	0.0317893	3.02152e+014	0.77453	0.0204657	6.31587e+015
59.2251	3.10228e+014	0.031424	3.10228e+014	0.775705	0.0208832	6.49526e+015
59.1288	3.19862e+014	0.03107	3.19862e+014	0.776851	0.0214016	6.70788e+015
59.0328	3.30515e+014	0.0307306	3.30515e+014	0.777959	0.0219842	6.94255e+015
58.9371	3.41233e+014	0.0304076	3.41233e+014	0.779019	0.0225678	7.17932e+015
58.8418	3.5051e+014	0.0300991	3.5051e+014	0.780039	0.0230531	7.38647e+015
58.7467	3.57459e+014	0.0297969	3.57459e+014	0.781042	0.0233817	7.54509e+015
58.652	3.62954e+014	0.0294927	3.62954e+014	0.782058	0.0236106	7.67346e+015
58.5575	3.68706e+014	0.0291856	3.68706e+014	0.78309	0.0238515	7.80762e+015
58.4634	3.75583e+014	0.0288802	3.75583e+014	0.784123	0.0241615	7.96607e+015
58.3695	3.83662e+014	0.0285798	3.83662e+014	0.785146	0.0245453	8.15049e+015
58.276	3.92619e+014	0.028287	3.92619e+014	0.786149	0.0249821	8.35416e+015
58.1827	4.01867e+014	0.028003	4.01867e+014	0.787129	0.0254343	8.56466e+015
58.0898	4.10611e+014	0.0277262	4.10611e+014	0.788089	0.0258513	8.76501e+015
57.9972	4.18509e+014	0.027451	4.18509e+014	0.789049	0.0262106	8.94788e+015
57.9048	4.26857e+014	0.0271721	4.26857e+014	0.790028	0.0265916	9.1409e+015
57.8127	4.37744e+014	0.0268917	4.37744e+014	0.791019	0.027124	9.38897e+015
57.721	4.52497e+014	0.0266191	4.52497e+014	0.791991	0.0278905	9.72084e+015
57.6295	4.70541e+014	0.0263654	4.70541e+014	0.792903	0.0288566	1.01245e+016
57.5383	4.8978e+014	0.0261372	4.8978e+014	0.793729	0.029895	1.05552e+016
57.4474	5.07417e+014	0.0259347	5.07417e+014	0.794467	0.0308362	1.09526e+016
57.3568	5.20959e+014	0.0257509	5.20959e+014	0.795138	0.031529	1.12627e+016
57.2665	5.29398e+014	0.0255755	5.29398e+014	0.795778	0.0319119	1.14631e+016
57.1764	5.32481e+014	0.0253995	5.32481e+014	0.796421	0.0319697	1.15481e+016
57.0867	5.30705e+014	0.0252115	5.30705e+014	0.797107	0.031731	1.15276e+016
56.9972	5.26758e+014	0.025002	5.26758e+014	0.797875	0.0313551	1.14599e+016
56.908	5.24549e+014	0.0247717	5.24549e+014	0.798724	0.0310755	1.14297e+016
56.8191	5.27106e+014	0.0245315	5.27106e+014	0.799617	0.0310738	1.15034e+016
56.7304	5.35219e+014	0.0242961	5.35219e+014	0.800501	0.0313985	1.16987e+016
56.6421	5.47306e+014	0.0240774	5.47306e+014	0.801329	0.0319581	1.19816e+016
56.554	5.60939e+014	0.0238794	5.60939e+014	0.802084	0.0326106	1.22991e+016
56.4662	5.73757e+014	0.0237027	5.73757e+014	0.802761	0.0332194	1.25997e+016
56.3786	5.82794e+014	0.0235426	5.82794e+014	0.803376	0.0336129	1.28181e+016
56.2914	5.863e+014	0.0233853	5.863e+014	0.803979	0.0336867	1.29152e+016
56.2043	5.85803e+014	0.0232162	5.85803e+014	0.804628	0.033525	1.29242e+016
56.1176	5.84844e+014	0.0230323	5.84844e+014	0.805336	0.0333305	1.2923e+016
56.0311	5.85564e+014	0.022839	5.85564e+014	0.806085	0.0332273	1.29589e+016
55.9449	5.89192e+014	0.0226418	5.89192e+014	0.806855	0.0332862	1.30592e+016
55.859	5.9631e+014	0.0224481	5.9631e+014	0.807617	0.0335413	1.32373e+016
55.7733	6.0604e+014	0.022265	6.0604e+014	0.808342	0.0339445	1.3474e+016
55.6879	6.16903e+014	0.0220942	6.16903e+014	0.809024	0.0344127	1.37366e+016
55.6028	6.2801e+014	0.0219352	6.2801e+014	0.809662	0.0348958	1.40053e+016
55.5179	6.38329e+014	0.0217883	6.38329e+014	0.810253	0.0353373	1.42572e+016
55.4333	6.46633e+014	0.0216494	6.46633e+014	0.810814	0.0356681	1.44647e+016
55.3489	6.52975e+014	0.0215145	6.52975e+014	0.81136	0.0358905	1.46288e+016
55.2648	6.57218e+014	0.0213814	6.57218e+014	0.811898	0.0359969	1.47463e+016
55.1809	6.59632e+014	0.0212448	6.59632e+014	0.812452	0.0360006	1.4823e+016
55.0973	6.61786e+014	0.0211014	6.61786e+014	0.813035	0.0359859	1.48939e+016
55.0139	6.66024e+014	0.0209517	6.66024e+014	0.813647	0.0360798	1.5012e+016
54.9308	6.75308e+014	0.0208034	6.75308e+014	0.814261	0.0364448	1.52443e+016
54.848	6.91008e+014	0.020675	6.91008e+014	0.814799	0.0371617	1.56223e+016
54.7654	7.09348e+014	0.0205901	7.09348e+014	0.815161	0.0380392	1.60611e+016
54.683	7.19177e+014	0.0205553	7.19177e+014	0.815311	0.0384867	1.63082e+016
54.6009	7.09713e+014	0.0205329	7.09713e+014	0.815396	0.0379117	1.61178e+016
54.5191	6.84251e+014	0.020471	6.84251e+014	0.815633	0.0364658	1.55628e+016
54.4374	6.54813e+014	0.0203558	6.54813e+014	0.81609	0.0347872	1.49156e+016
54.3561	6.29616e+014	0.0202046	6.29616e+014	0.816702	0.0333243	1.43631e+016
54.2749	6.1084e+014	0.0200381	6.1084e+014	0.817385	0.0322019	1.39556e+016
54.1941	5.97143e+014	0.0198693	5.97143e+014	0.818085	0.0313526	1.36631e+016
54.1134	5.87025e+014	0.0197009	5.87025e+014	0.818789	0.0306965	1.34516e+016
54.033	5.80347e+014	0.0195353	5.80347e+014	0.819487	0.030225	1.33183e+016
53.9528	5.7646e+014	0.0193774	5.7646e+014	0.820157	0.0299047	1.32488e+016
53.8729	5.73348e+014	0.0192294	5.73348e+014	0.820789	0.0296307	1.31968e+016
53.7932	5.69122e+014	0.019087	5.69122e+014	0.821398	0.0293036	1.3119e+016
53.7138	5.63573e+014	0.018943	5.63573e+014	0.822016	0.0289099	1.30103e+016
53.6345	5.58184e+014	0.0187941	5.58184e+014	0.822658	0.0285244	1.29049e+016
53.5555	5.54253e+014	0.0186412	5.54253e+014	0.823322	0.0282136	1.28329e+016
53.4768	5.52415e+014	0.0184852	5.52415e+014	0.824004	0.0280091	1.28092e+016
53.3983	5.53928e+014	0.0183266	5.53928e+014	0.824702	0.0279734	1.28632e+016
53.32	5.60669e+014	0.0181699	5.60669e+014	0.825399	0.0282007	1.30388e+016
53.2419	5.73491e+014	0.0180249	5.73491e+014	0.82605	0.028735	1.33566e+016
53.1641	5.90667e+014	0.0179014	5.90667e+014	0.826612	0.0294919	1.37767e+016
53.0864	6.09405e+014	0.0178019	6.09405e+014	0.827069	0.0303324	1.42346e+016
53.0091	6.27841e+014	0.0177264	6.27841e+014	0.827419	0.0311644	1.46866e+016
52.9319	6.4363e+014	0.017675	6.4363e+014	0.827661	0.0318734	1.50779e+016
52.855	6.54401e+014	0.0176431	6.54401e+014	0.827811	0.0323418	1.53525e+016
52.7782	6.5911e+014	0.0176249	6.5911e+014	0.827896	0.0325171	1.54855e+016
52.7018	6.57762e+014	0.0176164	6.57762e+014	0.827933	0.0323994	1.54762e+016
52.6255	6.5047e+014	0.01762	6.5047e+014	0.827911	0.0319965	1.53268e+016
52.5494	6.33699e+014	0.0176402	6.33699e+014	0.827808	0.0311386	1.49533e+016
52.4736	6.00294e+014	0.0176664	6.00294e+014	0.827668	0.0294702	1.41855e+016
52.398	5.47286e+014	0.017665	5.47286e+014	0.827642	0.0268326	1.29515e+016
52.3226	4.8161e+014	0.0176065	4.8161e+014	0.82787	0.0235601	1.14137e+016
52.2474	4.1392e+014	0.0174842	4.1392e+014	0.828392	0.0201822	9.82366e+015
52.1725	3.5376e+014	0.0173108	3.5376e+014	0.829155	0.017177	8.40792e+015
52.0977	3.05619e+014	0.01711	3.05619e+014	0.830057	0.0147703	7.27417e+015
52.0232	2.69027e+014	0.0169009	2.69027e+014	0.831008	0.0129388	6.41239e+015
51.9489	2.41557e+014	0.0166944	2.41557e+014	0.831957	0.0115615	5.76587e+015
51.8748	2.20781e+014	0.0164949	2.20781e+014	0.832883	0.0105169	5.27748e+015
51.8009	2.04916e+014	0.0163037	2.04916e+014	0.833778	0.00971597	4.90523e+015
51.7272	1.92656e+014	0.016121	1.92656e+014	0.834639	0.00909348	4.61832e+015
51.6537	1.83057e+014	0.0159463	1.83057e+014	0.835469	0.00860249	4.39446e+015
51.5804	1.75364e+014	0.015779	1.75364e+014	0.836268	0.00820571	4.21577e+015
51.5074	1.69053e+014	0.0156184	1.69053e+014	0.83704	0.00787739	4.06983e+015
51.4345	1.63776e+014	0.0154636	1.63776e+014	0.837789	0.00760028	3.94836e+015
51.3619	1.5927e+014	0.015314	1.5927e+014	0.838517	0.00736153	3.84516e+015
51.2894	1.55361e+014	0.015169	1.55361e+014	0.839227	0.00715255	3.75608e+015
51.2172	1.51874e+014	0.0150282	1.51874e+014	0.83992	0.00696489	3.67695e+015
51.1452	1.48691e+014	0.0148908	1.48691e+014	0.840599	0.00679287	3.60497e+015
51.0733	1.45843e+014	0.0147568	1.45843e+014	0.841265	0.0066376	3.5409e+015
51.0017	1.43242e+014	0.0146257	1.43242e+014	0.841921	0.00649489	3.48263e+015
50.9303	1.40888e+014	0.0144972	1.40888e+014	0.842566	0.00636457	3.43021e+015
50.859	1.38782e+014	0.0143714	1.38782e+014	0.843201	0.0062465	3.38365e+015
50.788	1.36835e+014	0.0142482	1.36835e+014	0.843827	0.00613662	3.34086e+015
50.7172	1.35048e+014	0.0141272	1.35048e+014	0.844444	0.0060348	3.30184e+015
50.6465	1.33378e+014	0.0140084	1.33378e+014	0.845052	0.005939	3.26554e+015
50.5761	1.31823e+014	0.0138917	1.31823e+014	0.845653	0.00584913	3.23198e+015
50.5059	1.30356e+014	0.0137769	1.30356e+014	0.846247	0.00576384	3.20045e+015
50.4358	1.28976e+014	0.013664	1.28976e+014	0.846834	0.00568306	3.17095e+015
50.3659	1.27682e+014	0.0135528	1.27682e+014	0.847415	0.00560674	3.14351e+015
50.2963	1.26417e+014	0.0134433	1.26417e+014	0.847989	0.00553227	3.11668e+015
50.2268	1.2521e+014	0.0133354	1.2521e+014	0.848557	0.00546088	3.09119e+015
50.1575	1.24061e+014	0.0132291	1.24061e+014	0.84912	0.00539255	3.06704e+015
50.0884	1.22984e+014	0.0131243	1.22984e+014	0.849678	0.00532789	3.04462e+015
50.0196	1.21921e+014	0.0130209	1.21921e+014	0.85023	0.00526431	3.02247e+015
49.9508	1.20931e+014	0.0129189	1.20931e+014	0.850778	0.00520432	3.00205e+015
49.8823	1.1994e+014	0.0128182	1.1994e+014	0.85132	0.00514474	2.98153e+015
49.814	1.19037e+014	0.0127188	1.19037e+014	0.851859	0.00508934	2.96314e+015
49.7458	1.18162e+014	0.0126207	1.18162e+014	0.852392	0.00503558	2.94539e+015
49.6779	1.17316e+014	0.0125238	1.17316e+014	0.852921	0.00498341	2.92831e+015
49.6101	1.16499e+014	0.0124282	1.16499e+014	0.853446	0.00493285	2.91189e+015
49.5425	1.15726e+014	0.0123338	1.15726e+014	0.853966	0.00488448	2.8965e+015
49.4751	1.14966e+014	0.0122405	1.14966e+014	0.854482	0.00483705	2.88141e+015
49.4079	1.14236e+014	0.0121483	1.14236e+014	0.854994	0.00479116	2.867e+015
49.3409	1.13519e+014	0.0120572	1.13519e+014	0.855503	0.00474618	2.85289e+015
49.274	1.12832e+014	0.0119672	1.12832e+014	0.856007	0.00470272	2.83946e+015
49.2073	1.12143e+014	0.0118782	1.12143e+014	0.856508	0.00465952	2.82596e+015
49.1408	1.11484e+014	0.0117902	1.11484e+014	0.857005	0.00461782	2.81315e+015
49.0745	1.10839e+014	0.0117032	1.10839e+014	0.857499	0.00457699	2.80065e+015
49.0084	1.10208e+014	0.0116172	1.10208e+014	0.857989	0.00453702	2.78846e+015
48.9424	1.09591e+014	0.0115322	1.09591e+014	0.858476	0.00449789	2.77659e+015
48.8766	1.08974e+014	0.0114481	1.08974e+014	0.858959	0.004459	2.76466e+015
48.811	1.084e+014	0.0113649	1.084e+014	0.859439	0.00442217	2.75381e+015
48.7456	1.07796e+014	0.0112826	1.07796e+014	0.859916	0.00438432	2.74213e+015
48.6803	1.07236e+014	0.0112012	1.07236e+014	0.860389	0.00434853	2.73155e+015
48.6153	1.0666e+014	0.0111206	1.0666e+014	0.86086	0.00431232	2.72052e+015
48.5504	1.06114e+014	0.0110409	1.06114e+014	0.861327	0.00427753	2.7102e+015
48.4856	1.05582e+014	0.010962	1.05582e+014	0.861792	0.00424354	2.70022e+015
48.4211	1.05049e+014	0.010884	1.05049e+014	0.862253	0.00420974	2.69017e+015
48.3567	1.04531e+014	0.0108067	1.04531e+014	0.862712	0.00417673	2.68046e+015
48.2924	1.03997e+014	0.0107303	1.03997e+014	0.863167	0.0041433	2.67031e+015
48.2284	1.03492e+014	0.0106546	1.03492e+014	0.86362	0.00411125	2.66088e+015
48.1645	1.02986e+014	0.0105797	1.02986e+014	0.86407	0.00407937	2.65139e+015
48.1008	1.02495e+014	0.0105056	1.02495e+014	0.864517	0.00404826	2.64225e+015
48.0373	1.02004e+014	0.0104321	1.02004e+014	0.864962	0.00401731	2.63305e+015
47.9739	1.01526e+014	0.0103595	1.01526e+014	0.865403	0.00398713	2.62419e+015
47.9107	1.01063e+014	0.0102875	1.01063e+014	0.865843	0.00395769	2.61567e+015
47.8477	1.0057e+014	0.0102162	1.0057e+014	0.866279	0.00392723	2.60632e+015
47.7848	1.0012e+014	0.0101456	1.0012e+014	0.866713	0.00389869	2.59809e+015
47.7221	9.96708e+013	0.0100758	9.96708e+013	0.867145	0.00387031	2.58983e+015
47.6595	9.92204e+013	0.0100065	9.92204e+013	0.867574	0.00384206	2.58151e+015
47.5971	9.87694e+013	0.00993803	9.87694e+013	0.868	0.00381397	2.57314e+015
47.5349	9.8333e+013	0.00987016	9.8333e+013	0.868424	0.0037866	2.56512e+015
47.4729	9.78806e+013	0.00980292	9.78806e+013	0.868845	0.00375879	2.55666e+015
47.411	9.74733e+013	0.00973628	9.74733e+013	0.869265	0.00373286	2.54934e+015
47.3492	9.70502e+013	0.00967034	9.70502e+013	0.869681	0.00370648	2.54159e+015
47.2877	9.66264e+013	0.00960499	9.66264e+013	0.870096	0.00368023	2.53378e+015
47.2263	9.62172e+013	0.00954028	9.62172e+013	0.870508	0.0036547	2.52633e+015
47.165	9.57921e+013	0.00947611	9.57921e+013	0.870918	0.0036287	2.51844e+015
47.1039	9.53816e+013	0.00941259	9.53816e+013	0.871325	0.00360342	2.5109e+015
47.043	9.49705e+013	0.00934962	9.49705e+013	0.87173	0.00357825	2.50332e+015
46.9822	9.46048e+013	0.00928723	9.46048e+013	0.872133	0.00355493	2.4969e+015
46.9216	9.41924e+013	0.00922546	9.41924e+013	0.872534	0.00353	2.48923e+015
46.8611	9.37948e+013	0.0091642	9.37948e+013	0.872933	0.00350576	2.48192e+015
46.8008	9.34119e+013	0.00910353	9.34119e+013	0.873329	0.00348221	2.47497e+015
46.7406	9.30283e+013	0.00904336	9.30283e+013	0.873724	0.00345876	2.46798e+015
46.6806	9.26442e+013	0.00898382	9.26442e+013	0.874116	0.00343543	2.46095e+015
46.6208	9.22595e+013	0.00892479	9.22595e+013	0.874506	0.00341221	2.45388e+015
46.5611	9.18895e+013	0.0088662	9.18895e+013	0.874894	0.00338966	2.44717e+015
46.5016	9.1519e+013	0.00880825	9.1519e+013	0.87528	0.00336722	2.44042e+015
46.4422	9.11632e+013	0.00875073	9.11632e+013	0.875664	0.00334544	2.43405e+015
46.3829	9.08069e+013	0.00869376	9.08069e+013	0.876046	0.00332376	2.42763e+015
46.3238	9.04346e+013	0.00863731	9.04346e+013	0.876426	0.00330162	2.42076e+015
46.2649	9.00926e+013	0.00858133	9.00926e+013	0.876804	0.0032807	2.41468e+015
46.2061	8.97345e+013	0.00852584	8.97345e+013	0.87718	0.00325931	2.40814e+015
46.1475	8.93758e+013	0.00847084	8.93758e+013	0.877554	0.00323802	2.40156e+015
46.089	8.90476e+013	0.00841632	8.90476e+013	0.877926	0.00321795	2.39578e+015
46.0307	8.86878e+013	0.00836232	8.86878e+013	0.878296	0.00319685	2.38912e+015
45.9725	8.83429e+013	0.00830872	8.83429e+013	0.878664	0.00317639	2.38284e+015
45.9144	8.79974e+013	0.00825559	8.79974e+013	0.879031	0.00315602	2.37653e+015
45.8565	8.76669e+013	0.00820297	8.76669e+013	0.879395	0.0031363	2.37059e+015
45.7988	8.73359e+013	0.00815078	8.73359e+013	0.879758	0.00311667	2.36462e+015
45.7412	8.70199e+013	0.00809903	8.70199e+013	0.880119	0.00309767	2.35903e+015
45.6837	8.66721e+013	0.00804771	8.66721e+013	0.880478	0.00307764	2.35255e+015
45.6264	8.63393e+013	0.00799683	8.63393e+013	0.880835	0.00305826	2.34647e+015
45.5692	8.60372e+013	0.00794636	8.60372e+013	0.881191	0.00304005	2.34119e+015
