x	I	R	a	n	L	aE
144.877	4.41819e+016	1.28602	4.41819e+016	0.531539	0.180103	3.78152e+017
144.302	4.40091e+016	1.31871	4.40091e+016	0.510491	0.179124	3.78173e+017
143.732	4.37393e+016	1.34979	4.37393e+016	0.492706	0.179698	3.77346e+017
143.166	4.34378e+016	1.37868	4.34378e+016	0.477956	0.181206	3.76226e+017
142.605	4.31259e+016	1.40593	4.31259e+016	0.465483	0.183327	3.74995e+017
142.048	4.28171e+016	1.43175	4.28171e+016	0.45482	0.185859	3.73771e+017
141.495	4.2516e+016	1.45716	4.2516e+016	0.44519	0.188577	3.72591e+017
140.947	4.2203e+016	1.48314	4.2203e+016	0.436172	0.191615	3.71288e+017
140.402	4.18582e+016	1.50839	4.18582e+016	0.428623	0.195541	3.69682e+017
139.862	4.14963e+016	1.52912	4.14963e+016	0.42407	0.200774	3.679e+017
139.326	4.11728e+016	1.5412	4.11728e+016	0.423438	0.207014	3.66436e+017
138.795	4.09729e+016	1.54445	4.09729e+016	0.42551	0.212679	3.66055e+017
138.267	4.09254e+016	1.54799	4.09254e+016	0.425913	0.215701	3.67025e+017
137.743	4.09327e+016	1.5615	4.09327e+016	0.42154	0.216244	3.68487e+017
137.223	4.08995e+016	1.58399	4.08995e+016	0.413979	0.216157	3.69583e+017
136.708	4.08268e+016	1.61104	4.08268e+016	0.405317	0.216137	3.70318e+017
136.196	4.0725e+016	1.64318	4.0725e+016	0.39545	0.215953	3.70783e+017
135.687	4.05622e+016	1.68208	4.05622e+016	0.384365	0.216011	3.70684e+017
135.183	4.03069e+016	1.72541	4.03069e+016	0.373638	0.217412	3.69725e+017
134.682	3.99726e+016	1.76667	3.99726e+016	0.365528	0.221058	3.68022e+017
134.185	3.96121e+016	1.79906	3.96121e+016	0.361321	0.226972	3.66053e+017
133.692	3.9283e+016	1.81831	3.9283e+016	0.361052	0.234476	3.64352e+017
133.202	3.90409e+016	1.82305	3.90409e+016	0.36396	0.242343	3.63437e+017
132.716	3.89312e+016	1.81802	3.89312e+016	0.368013	0.248686	3.63744e+017
132.234	3.89503e+016	1.81352	3.89503e+016	0.370492	0.252066	3.6525e+017
131.754	3.9056e+016	1.81787	3.9056e+016	0.369639	0.252275	3.67573e+017
131.279	3.91928e+016	1.83654	3.91928e+016	0.364558	0.24982	3.70197e+017
130.807	3.92939e+016	1.87055	3.92939e+016	0.355801	0.24606	3.72492e+017
130.338	3.93374e+016	1.91482	3.93374e+016	0.345263	0.242214	3.74246e+017
129.872	3.93437e+016	1.96692	3.93437e+016	0.333655	0.238202	3.75647e+017
129.41	3.93108e+016	2.02945	3.93108e+016	0.32066	0.233785	3.76675e+017
128.951	3.92191e+016	2.10444	3.92191e+016	0.306485	0.229283	3.77133e+017
128.495	3.90531e+016	2.19274	3.90531e+016	0.291729	0.225176	3.76869e+017
128.043	3.88e+016	2.29351	3.88e+016	0.277396	0.222229	3.75749e+017
127.594	3.84733e+016	2.40035	3.84733e+016	0.265009	0.221292	3.73897e+017
127.148	3.8121e+016	2.50587	3.8121e+016	0.255136	0.222193	3.71773e+017
126.705	3.77757e+016	2.61028	3.77757e+016	0.246928	0.223991	3.69693e+017
126.265	3.74357e+016	2.71784	3.74357e+016	0.239569	0.226205	3.67643e+017
125.828	3.70909e+016	2.83074	3.70909e+016	0.232877	0.228936	3.65521e+017
125.394	3.67361e+016	2.94748	3.67361e+016	0.227077	0.232538	3.63278e+017
124.963	3.63788e+016	3.06326	3.63788e+016	0.222444	0.237239	3.60985e+017
124.535	3.60298e+016	3.17402	3.60298e+016	0.218958	0.242948	3.5875e+017
124.11	3.56977e+016	3.27567	3.56977e+016	0.216554	0.249541	3.56661e+017
123.688	3.53958e+016	3.36428	3.53958e+016	0.215071	0.256669	3.54852e+017
123.269	3.5138e+016	3.44135	3.5138e+016	0.213987	0.263513	3.53465e+017
122.852	3.49257e+016	3.5186	3.49257e+016	0.212383	0.268984	3.5252e+017
122.438	3.47375e+016	3.61234	3.47375e+016	0.209517	0.272609	3.51806e+017
122.028	3.45478e+016	3.7311	3.45478e+016	0.205357	0.274781	3.51062e+017
121.619	3.43376e+016	3.88114	3.43376e+016	0.200011	0.275926	3.50097e+017
121.214	3.40788e+016	4.06388	3.40788e+016	0.193966	0.277163	3.4862e+017
120.811	3.37642e+016	4.25433	3.37642e+016	0.18858	0.28037	3.46554e+017
120.411	3.34225e+016	4.41935	3.34225e+016	0.184714	0.286204	3.44186e+017
120.014	3.30802e+016	4.54119	3.30802e+016	0.182324	0.294248	3.41789e+017
119.619	3.27524e+016	4.61015	3.27524e+016	0.18125	0.304117	3.39519e+017
119.227	3.24577e+016	4.62443	3.24577e+016	0.181301	0.315183	3.37571e+017
118.837	3.22143e+016	4.60412	3.22143e+016	0.181863	0.326016	3.36138e+017
118.45	3.20271e+016	4.58376	3.20271e+016	0.182018	0.334897	3.35277e+017
118.066	3.18842e+016	4.5952	3.18842e+016	0.180894	0.340566	3.34868e+017
117.684	3.17638e+016	4.65895	3.17638e+016	0.177906	0.342488	3.34687e+017
117.304	3.16333e+016	4.78811	3.16333e+016	0.172665	0.340743	3.3439e+017
116.927	3.14457e+016	4.96471	3.14457e+016	0.165595	0.337177	3.33479e+017
116.552	3.11775e+016	5.11975	3.11775e+016	0.1583	0.33512	3.31699e+017
116.18	3.08538e+016	5.18511	3.08538e+016	0.152235	0.336617	3.29306e+017
115.81	3.0519e+016	5.15282	3.0519e+016	0.147702	0.341247	3.26773e+017
115.442	3.02069e+016	5.06999	3.02069e+016	0.143974	0.346737	3.24462e+017
115.077	2.99204e+016	4.98864	2.99204e+016	0.139832	0.350379	3.22405e+017
114.714	2.96305e+016	4.91656	2.96305e+016	0.134564	0.351279	3.20292e+017
114.353	2.93061e+016	4.82486	2.93061e+016	0.128356	0.350589	3.17784e+017
113.994	2.89298e+016	4.68276	2.89298e+016	0.12182	0.350159	3.14691e+017
113.638	2.84983e+016	4.47646	2.84983e+016	0.115684	0.352008	3.10968e+017
113.284	2.80221e+016	4.21819	2.80221e+016	0.110543	0.357767	3.06728e+017
112.932	2.7518e+016	3.93646	2.7518e+016	0.106604	0.368113	3.02149e+017
112.583	2.69984e+016	3.65585	2.69984e+016	0.103786	0.383134	2.97364e+017
112.235	2.64693e+016	3.39013	2.64693e+016	0.101898	0.402778	2.92438e+017
111.89	2.59296e+016	3.14369	2.59296e+016	0.100757	0.427238	2.87361e+017
111.547	2.53721e+016	2.91424	2.53721e+016	0.100366	0.457801	2.82047e+017
111.206	2.47909e+016	2.69778	2.47909e+016	0.101064	0.497535	2.76432e+017
110.867	2.41925e+016	2.49342	2.41925e+016	0.103388	0.550549	2.70583e+017
110.53	2.35988e+016	2.30441	2.35988e+016	0.107716	0.619859	2.64749e+017
110.195	2.30405e+016	2.13599	2.30405e+016	0.113887	0.704607	2.59271e+017
109.862	2.25369e+016	1.99107	2.25369e+016	0.121151	0.799765	2.54372e+017
109.531	2.20844e+016	1.86739	2.20844e+016	0.128765	0.90065	2.50018e+017
109.202	2.16747e+016	1.76058	2.16747e+016	0.136479	1.0054	2.46119e+017
108.875	2.13099e+016	1.66878	2.13099e+016	0.144087	1.11088	2.42703e+017
108.55	2.09885e+016	1.59136	2.09885e+016	0.151064	1.2123	2.39758e+017
108.227	2.06963e+016	1.52624	2.06963e+016	0.156967	1.30753	2.37126e+017
107.906	2.04154e+016	1.47067	2.04154e+016	0.1616	1.39749	2.34604e+017
107.586	2.01283e+016	1.42203	2.01283e+016	0.164921	1.48493	2.31992e+017
107.269	1.98179e+016	1.37798	1.98179e+016	0.166963	1.57383	2.2909e+017
106.954	1.94643e+016	1.33642	1.94643e+016	0.167738	1.66953	2.25666e+017
106.64	1.90286e+016	1.29357	1.90286e+016	0.167392	1.78443	2.21262e+017
106.328	1.84583e+016	1.24109	1.84583e+016	0.167513	1.94935	2.15261e+017
106.018	1.77754e+016	1.17414	1.77754e+016	0.171164	2.19509	2.07903e+017
105.71	1.7099e+016	1.1005	1.7099e+016	0.179556	2.50539	2.00575e+017
105.404	1.65257e+016	1.03304	1.65257e+016	0.190325	2.82003	1.94414e+017
105.099	1.60199e+016	0.975946	1.60199e+016	0.200404	3.11697	1.89009e+017
104.796	1.54862e+016	0.922994	1.54862e+016	0.209739	3.43358	1.83241e+017
104.495	1.48906e+016	0.867779	1.48906e+016	0.220349	3.79508	1.76701e+017
104.195	1.42719e+016	0.809055	1.42719e+016	0.233879	4.17146	1.69846e+017
103.898	1.36913e+016	0.749591	1.36913e+016	0.250429	4.49238	1.63403e+017
103.602	1.31811e+016	0.692223	1.31811e+016	0.269157	4.70073	1.57763e+017
103.307	1.27466e+016	0.63799	1.27466e+016	0.289398	4.77475	1.52998e+017
103.015	1.239e+016	0.58695	1.239e+016	0.310906	4.7153	1.4914e+017
102.724	1.21247e+016	0.539291	1.21247e+016	0.333543	4.53662	1.4636e+017
102.434	1.19726e+016	0.496124	1.19726e+016	0.356716	4.27201	1.44932e+017
102.147	1.19335e+016	0.458771	1.19335e+016	0.379259	3.97507	1.44866e+017
