2.284664	0.127325	0.129734	0.095975                2.284664	6.693861	6.801971	5.334012                            
2.318763	0.131748	0.134242	0.099545                2.318763	6.737834	6.846779	5.367155                            
2.352863	0.136382	0.138965	0.103314                2.352863	6.783323	6.89313	5.401531                              
2.386962	0.141244	0.143921	0.107303                2.386962	6.830426	6.941119	5.437209                            
2.421062	0.146354	0.149131	0.111535                2.421062	6.879197	6.990815	5.474258                            
2.455161	0.151735	0.154618	0.116038                2.455161	6.929732	7.042307	5.512766                            
2.48926	0.157413	0.16041	0.120846                  2.48926	6.982117	7.095694	5.552827                              
2.52336	0.163421	0.166539	0.125998                2.52336	7.036469	7.151077	5.594533                              
2.557459	0.169797	0.173045	0.131545                2.557459	7.09288	7.208562	5.638007                              
2.591559	0.176587	0.179978	0.13755                 2.591559	7.15148	7.268282	5.683372                              
2.625658	0.183851	0.187399	0.144094                2.625658	7.212399	7.330368	5.730767                            
2.659758	0.191666	0.195391	0.151285                2.659758	7.275786	7.394966	5.780357                            
2.693857	0.200137	0.204063	0.159271                2.693857	7.341785	7.462224	5.832295                            
2.727957	0.209399	0.21356	0.168245                  2.727957	7.410528	7.532293	5.886743                            
2.762056	0.219618	0.224057	0.178448                2.762056	7.48214	7.605282	5.943827                              
2.796156	0.230966	0.235738	0.190134                2.796156	7.556697	7.681248	6.003606                            
2.830255	0.243577	0.248743	0.203523                2.830255	7.634212	7.760197	6.066102                            
2.864355	0.257513	0.263128	0.218776                2.864355	7.714705	7.842125	6.131358                            
2.898454	0.272773	0.278877	0.236038                2.898454	7.798251	7.927103	6.199496                            
2.932553	0.289351	0.295966	0.255545                2.932553	7.88505	8.015302	6.270759                              
2.966653	0.307292	0.314416	0.277708                2.966653	7.975346	8.106979	6.345406                            
3.000752	0.326705	0.33431	0.30315                   3.000752	8.069445	8.202427	6.423629                            
3.034852	0.347773	0.355801	0.332643                3.034852	8.167699	8.302026	6.505381                            
3.068951	0.370766	0.379124	0.366961                3.068951	8.270448	8.406132	6.590326                            
3.103051	0.396045	0.404618	0.406709                3.103051	8.378037	8.515148	6.677879                            
3.13715	0.424081	0.43276	0.452237                  3.13715	8.490793	8.629426	6.767328                              
3.17125	0.45544	0.464144	0.50359                   3.17125	8.608903	8.749205	6.858017                              
3.205349	0.490675	0.499367	0.560621                3.205349	8.732393	8.874541	6.949558                            
3.239449	0.530203	0.538876	0.623373                3.239449	8.86121	9.005346	7.041883                              
3.273548	0.574334	0.582974	0.692266                3.273548	8.995371	9.141591	7.134842                            
3.307647	0.62335	0.631886	0.767764                  3.307647	9.134955	9.283318	7.227867                            
3.341747	0.677535	0.685774	0.849955                3.341747	9.280142	9.430675	7.320221                            
3.375846	0.737184	0.744736	0.938747                3.375846	9.431114	9.58394	7.411419                              
3.409946	0.802387	0.808666	1.034244                3.409946	9.588119	9.743604	7.501099                            
3.444045	0.873059	0.877469	1.136643                3.444045	9.752027	9.911014	7.588571                            
3.478145	0.949746	0.952005	1.245734                3.478145	9.924445	10.088184	7.672837                            
3.512244	1.033997	1.034279	1.360334                3.512244	10.107088	10.277025	7.753356                            
3.546344	1.128224	1.127124	1.479616                3.546344	10.301347	10.478926	7.831478                            
3.580443	1.23555	1.234077	1.605545                  3.580443	10.508114	10.69471	7.908828                            
3.614543	1.359877	1.359428	1.741687                3.614543	10.727677	10.924497	7.98419                             
3.648642	1.506279	1.508569	1.890267                3.648642	10.959311	11.167371	8.053364                            
3.682742	1.680997	1.688221	2.050717                3.682742	11.199753	11.419838	8.11119                             
3.716841	1.88969	1.904674	2.220595                  3.716841	11.44119	11.67345	8.153022                            
