0.563   -3.009   0.183 
0.563   -2.992   0.174 
0.563   -2.976   0.183 
0.563   -2.959   0.215 
0.563   -2.943   0.262 
0.563   -2.927   0.308 
0.563   -2.910   0.336 
0.563   -2.894   0.334 
0.563   -2.877   0.307 
0.563   -2.861   0.265 
0.563   -2.844   0.224 
0.563   -2.828   0.196 
0.563   -2.811   0.183 
0.563   -2.795   0.185 
0.563   -2.779   0.197 
0.563   -2.762   0.214 
0.563   -2.746   0.235 
0.563   -2.729   0.257 
0.563   -2.713   0.280 
0.563   -2.696   0.304 
0.563   -2.680   0.335 
0.563   -2.663   0.371 
0.563   -2.647   0.404 
0.563   -2.630   0.414 
0.563   -2.614   0.392 
0.563   -2.598   0.345 
0.563   -2.581   0.297 
0.563   -2.565   0.266 
0.563   -2.548   0.266 
0.563   -2.532   0.297 
0.563   -2.515   0.347 
0.563   -2.499   0.393 
0.563   -2.482   0.416 
0.563   -2.466   0.411 
0.563   -2.450   0.393 
0.563   -2.433   0.385 
0.563   -2.417   0.405 
0.563   -2.400   0.452 
0.563   -2.384   0.506 
0.563   -2.367   0.537 
0.563   -2.351   0.528 
0.563   -2.334   0.483 
0.563   -2.318   0.423 
0.563   -2.302   0.369 
0.563   -2.285   0.331 
0.563   -2.269   0.307 
0.563   -2.252   0.291 
0.563   -2.236   0.283 
0.563   -2.219   0.284 
0.563   -2.203   0.295 
0.563   -2.186   0.318 
0.563   -2.170   0.356 
0.563   -2.154   0.404 
0.563   -2.137   0.448 
0.563   -2.121   0.466 
0.563   -2.104   0.447 
0.563   -2.088   0.398 
0.563   -2.071   0.337 
0.563   -2.055   0.279 
0.563   -2.038   0.231 
0.563   -2.022   0.196 
0.563   -2.006   0.172 
0.563   -1.989   0.155 
0.563   -1.973   0.144 
0.563   -1.956   0.140 
0.563   -1.940   0.146 
0.563   -1.923   0.163 
0.563   -1.907   0.189 
0.563   -1.890   0.221 
0.563   -1.874   0.252 
0.563   -1.858   0.275 
0.563   -1.841   0.283 
0.563   -1.825   0.276 
0.563   -1.808   0.255 
0.563   -1.792   0.227 
0.563   -1.775   0.197 
0.563   -1.759   0.171 
0.563   -1.742   0.154 
