-0.59	2.209
-0.563	2.232
-0.534	2.299
-0.524	2.408
-0.531	2.552
-0.554	2.725
-0.59	2.919
-0.634	2.937
-0.682	2.932
-0.731	2.965
-0.731	2.965
-0.733	2.954
-0.738	2.957
-0.747	2.975
-0.76	3.007
-0.776	3.052
-0.779	3.108
-0.786	3.172
-0.8	3.242
-0.821	3.314
-0.821	3.314
-0.808	3.212
-0.791	3.105
-0.751	3.036
-0.68	2.885
-0.615	2.675
-0.568	2.487
-0.551	2.338
-0.566	2.242
-0.59	2.209
-0.59	2.209
-0.59	2.211
-0.59	2.22
-0.591	2.234
-0.593	2.253
-0.595	2.278
-0.597	2.308
-0.6	2.342
-0.604	2.379
-0.607	2.416
-0.607	2.416
-0.582	2.44
-0.558	2.51
-0.547	2.622
-0.551	2.769
-0.571	2.944
-0.607	3.141
-0.655	3.231
-0.712	3.229
-0.775	3.252
-0.775	3.252
-0.775	3.234
-0.777	3.227
-0.78	3.232
-0.786	3.247
-0.795	3.273
-0.807	3.309
-0.822	3.356
-0.84	3.411
-0.857	3.473
-0.857	3.473
-0.85	3.449
-0.842	3.423
-0.836	3.398
-0.83	3.374
-0.826	3.354
-0.824	3.337
-0.822	3.325
-0.821	3.317
-0.821	3.315
-0.821	3.314
-0.808	3.212
-0.791	3.105
-0.751	3.036
-0.68	2.885
-0.615	2.675
-0.568	2.487
-0.551	2.338
-0.566	2.242
-0.59	2.209
0.481	3.08
0.469	3.106
0.487	3.182
0.504	3.302
0.507	3.46
0.498	3.648
0.481	3.858
0.458	3.819
0.433	3.811
0.407	3.843
0.407	3.843
0.405	3.827
0.396	3.827
0.382	3.843
0.363	3.874
0.337	3.921
0.304	3.979
0.265	4.048
0.22	4.125
0.174	4.206
0.174	4.206
0.247	4.092
0.294	3.982
0.313	3.915
0.352	3.812
0.411	3.59
0.453	3.387
0.467	3.224
0.48	3.117
0.481	3.08
0.481	3.08
0.481	3.083
0.48	3.092
0.477	3.106
0.474	3.127
0.47	3.153
0.465	3.184
0.459	3.22
0.453	3.259
0.447	3.298
0.447	3.298
0.444	3.325
0.469	3.403
0.483	3.528
0.484	3.689
0.472	3.88
0.447	4.091
0.412	4.123
0.371	4.119
0.326	4.14
0.326	4.14
0.324	4.118
0.319	4.106
0.31	4.106
0.297	4.118
0.28	4.142
0.258	4.178
0.232	4.225
0.202	4.281
0.17	4.347
0.17	4.347
0.17	4.327
0.17	4.304
0.171	4.282
0.172	4.261
0.173	4.243
0.173	4.227
0.174	4.216
0.174	4.209
0.174	4.206
0.174	4.206
0.247	4.092
0.294	3.982
0.313	3.916
0.352	3.812
0.411	3.59
0.453	3.387
0.467	3.224
0.48	3.117
0.481	3.08
